,compound id,child_ing_names,child_ing_ids,ingredient name,category
0,{995},"['polyalthia_canangioides_flower', 'petasites_fragrans', 'fagroea_racemosa_flower', 'ximenia_aegyptiaca', 'monodora_grandiflora']","[146, 244, 349, 410, 440]",magnolia_tripetala,flower
1,{921},"['lindera_citriodora', 'leptospermum_liversidgei', 'litsea_citrata']","[488, 517, 1294]",calyptranthes_parriculata,plant
2,{1018},"['while_thyme_oil', 'artemisia_frigida_oil']","[541, 1262]",chamaecyparis_pisifera_oil,plant derivative
3,"{769, 1028, 901, 902, 772, 645, 390, 391, 136, 524, 909, 272, 656, 914, 275, 531, 786, 657, 661, 912, 409, 282, 915, 413, 286, 292, 549, 806, 423, 424, 1064, 554, 811, 555, 686, 943, 1072, 54, 1083, 62, 961, 196, 198, 71, 199, 714, 203, 972, 719, 978, 724, 599, 600, 984, 985, 344, 357, 742, 369, 243, 756, 1013, 761, 764, 1023}","['sweetfish', 'eel', 'black_seabream', 'globefish', 'pilchard', 'horse_mackerel', 'sea_bass', 'pike', 'fish', 'fish_oil', 'benzoin', 'eucalyptus_amygdalina', 'eucalyptus_hemilampra', 'dolphin', 'blackberry_juice', 'salmon_caviar', 'field_mint_oil', 'honey_fungus', 'bulgarian_clary_sage_oil', 'anise_brandy', 'radish_oil', 'grape_juice', 'bitter_orange_flower_oil', 'raspberry_juice', 'boronia_anemonifolia', 'artemisia_camphorata', 'carpinus_betulus', 'cherry_juice', 'irish_whiskey', 'juniperus_phoenicea_oil', 'octopus', 'sunflower_oil', 'seseli_tortuosum', 'pinus_sabiniana_terpentine', 'eucalyptus_maideni', 'rafanus_sativus_root', 'chickpea', 'randia_formosa_flower', 'valencia_orange_oil', 'petitgrain_lime_oil', 'polysiphonia_fastigiata', 'fermented_tea_leaf_oil', 'auto_oxidized_salmon_oil', 'cryptomeria_japonica', 'salmon_roe', 'morus_bombycis_oil', 'pinus_jeffreyi_terpentine', 'pickled_ham', 'lavender_vera_oil', 'pinus_jeffreyi', 'mulberry_leaf', 'grape_syrup', 'hevea_brasiliensis_flower', 'thea_chinensis_oil', 'coffee_flower', 'rancid_coconut_oil', 'eucalyptus_goniocalyx', 'coprosma_foetidissima_leaf', 'sperm_whale_oil', 'oxidized_skim_milk', 'imperatoria', 'tobacco_flower', 'acacia_dealbata', 'jasminum_odoratissimum_oil', 'jasminum_grandiflorum_oil', 'orris_oil', 'grain', 'arnica_montana', 'wild_marjoram', 'black_currant_juice', 'andropogon_intermedius', 'oxidized_lard', 'algerian_geranium_oil', 'persea_pubescens', 'white_currant_juice']","[264, 328, 366, 741, 1081, 1082, 1354, 1476, 878, 806, 335, 666, 43, 63, 96, 135, 138, 159, 162, 175, 197, 219, 228, 235, 240, 277, 291, 297, 300, 332, 342, 391, 445, 471, 475, 491, 496, 526, 536, 562, 568, 576, 602, 635, 646, 678, 727, 754, 779, 784, 798, 799, 808, 826, 903, 948, 957, 969, 984, 1072, 1100, 1247, 1249, 1265, 1333, 1367, 1377, 1388, 1408, 1445, 1456, 1473, 1500, 1510, 1513]",mackerel,fish/seafood
4,{964},['yellow_mombin'],[144],mimusops_elengi_flower,flower
5,"{346, 213}","['juniper_leaf_oil', 'myrtus_communis', 'summer_savory', 'ormenis_mixta_oil']","[55, 222, 348, 1266]",hyssop,herb
6,"{514, 791, 540, 162, 680, 1069, 177, 433, 830, 704, 580, 1092, 213, 90, 989, 350, 990, 628, 886, 1015, 504}","['buchu_oil', 'cupressaceae_oil', 'tea_tree_oil', 'juniper_leaf_oil', 'echinacea', 'myrtus_communis', 'barosma_betulina', 'helichrysum_angustifolium', 'finocchoi_fennel_oil', 'agastache_formosana', 'elettaria_caradmomum_oil', 'barosma_pulchella_oil', 'leaf_oil', 'marjoram_oil', 'nepeta_japonica', 'backhousia_citriodora_oil', 'micromeria_abyssinica', 'andropogon_gragrans', 'barosma_crenulata', 'thymus_caespeititius', 'pelargonium_tomentosum', 'rotundifolia', 'pelargonium_capitaux', 'ormenis_mixta_oil', 'artemisae_oil', 'baeckea_citriodora_oil', 'satureia_montana']","[1306, 365, 560, 55, 201, 222, 237, 252, 322, 358, 364, 435, 591, 820, 938, 956, 1011, 1040, 1058, 1070, 1110, 1127, 1228, 1266, 1342, 1359, 1397]",buchu,plant
7,"{260, 132, 518, 519, 393, 778, 273, 793, 157, 165, 37, 295, 1069, 177, 434, 442, 957, 704, 1092, 965, 971, 460, 79, 602, 348, 737, 867, 361, 250, 620, 243, 628, 1012, 886, 632, 378, 1021, 767}","['long_pepper', 'ethiopian_pepper', 'guinea_pepper', 'pepper', 'myrocarpus_fastigiatus', 'cupressaceae_oil', 'tea_tree_oil', 'cinnamon_leaf_oil', 'thymus_zygis', 'piper_officinarum', 'star_anise_oil', 'laurel_leaf_oil', 'myrocarpus_frondosus', 'pine_oil', 'cajeput_oil', 'eryngium_poterium_oil', 'acacia_flower_oil', 'jammus_citronella_oil', 'cicuta_virosa_oil', 'nutmeg_oil', 'matricaria_parthenium_oil', 'piper_famechoni', 'nemuaron_humboldtii_oil', 'melaleuca_oil', 'luvunga_scadens_oil', 'litsea_guatemalensis_oil', 'echinacea', 'asarum_canadense_root_oil', 'bay', 'kaschmis_citronella_oil', 'leptospermum_citratum', 'barosma_pulchella_leaf_oil', 'achillea_micrantha_oil', 'chrysanthemum_japonicum', 'finocchoi_fennel_oil', 'juniperus_phoenicea_oil', 'phebalium_nudum_root_oil', 'elettaria_caradmomum_oil', 'monarda_fisulosa', 'mentha_citrata', 'japanese_calamus', 'lavender_delphinensis', 'sassafras_root_oil', 'malabar_cardamom_oil', 'american_sassafras_oil', 'dacrydium_franklinii_oil', 'artemisia_maritime_oil', 'boldo_leaf', 'doryphora_sassafras_leaf_oil', 'asarum_europaeum_root_oil', 'eucalyptus_citriodora_oil', 'myrtaceae_oil', 'petitgrain_lime_oil', 'petrosimonia_monandra', 'leaf_oil', 'mentha_silvestris_oil', 'ceylon_tea_cinnamon_leaf', 'melaleuca_smithii', 'litsea_cubeba_fruit', 'helichrysum_italicum', 'lantana_camara_oil', 'artemisia_cina', 'dalbergia_sissoo', 'marjoram_oil', 'pinus_sylvestris_oil', 'siberian_pine_needle_oil', 'eucalyptus_polibrac_tea_oil', 'sweet_basil', 'melaleuca_trichostachya_oil', 'piper_chaba', 'psilocaulon_absimile', 'eucalyptus_citridora', 'california_laurel_oil', 'pimenta', 'thymus_caespeititius', 'salvia_grandifiora_oil', 'rhododendron_fauriae_leaf', 'cinnamomum_oliveri_leaf', 'cardamom_oil', 'melaleuca_paucifiora_oil', 'luraceae_oil', 'artemisia_santolinifolia_oil', 'melaleuca_bracteata_leaf', 'betel', 'artemisae_oil', 'piper_lowong', 'picea_alba_oil', 'satureia_montana', 'salvia_triloba_oil', 'cymbopogon_sennaarensis', 'melaleuca_viridiflora', 'spirea_ulmaria_oil', 'cascarilla']","[965, 774, 1374, 1471, 75, 365, 560, 611, 621, 654, 712, 850, 913, 1103, 1522, 8, 27, 44, 52, 80, 82, 85, 109, 125, 134, 160, 201, 208, 215, 245, 268, 274, 279, 301, 322, 332, 333, 364, 379, 412, 452, 460, 461, 480, 492, 499, 500, 510, 520, 530, 553, 561, 562, 588, 591, 607, 608, 706, 755, 758, 785, 788, 803, 820, 851, 852, 900, 901, 916, 927, 971, 988, 1037, 1046, 1070, 1084, 1099, 1108, 1129, 1155, 1279, 1293, 1315, 1318, 1342, 1347, 1376, 1397, 1404, 1430, 1466, 1490, 1518]",black_pepper,spice
8,{965},"['doryphora_sassafras_leaf_oil', 'spirea_ulmaria_oil']","[520, 1490]",eryngium_poterium_oil,plant derivative
9,"{1027, 517, 1030, 524, 1040, 1042, 19, 1043, 533, 1049, 1054, 550, 40, 1064, 554, 555, 556, 558, 560, 1082, 59, 62, 63, 64, 72, 1104, 595, 84, 599, 600, 107, 619, 113, 118, 638, 639, 645, 654, 656, 657, 662, 667, 669, 670, 158, 676, 173, 176, 693, 183, 696, 697, 189, 704, 193, 195, 196, 710, 198, 712, 199, 719, 211, 724, 729, 730, 734, 228, 229, 742, 753, 243, 249, 764, 768, 256, 771, 772, 272, 786, 275, 285, 798, 287, 292, 294, 806, 299, 811, 818, 313, 827, 317, 831, 836, 841, 849, 850, 338, 340, 858, 861, 864, 867, 871, 363, 890, 893, 384, 902, 391, 904, 909, 398, 397, 400, 911, 402, 918, 920, 408, 410, 926, 424, 937, 431, 948, 445, 958, 961, 962, 968, 972, 462, 978, 980, 984, 985, 472, 990, 997, 487, 1004, 1007, 1023}","['roasted_peanut', 'peanut', 'macadamia_nut', 'peanut_oil', 'walnut', 'nut', 'sesame_oil', 'salmon_oil', 'wintergreen_leaf', 'bulgarian_clary_sage', 'wood_oil', 'petitgrain_lime', 'lily_oil', 'pandanus_odoratissimus_oil', 'taiwan_citronella', 'date', 'orange_leaf', 'pinus_sabiniana', 'congo_geranium', 'chayote', 'blackberry_juice', 'cod_liver_oil', 'cereal', 'anise_brandy', 'eremocitrus_glauca', 'shellfish', 'italian_orange_oil', 'grape_juice', 'boronia_anemonifolia', 'chrysocoris_stolli', 'larch_tree', 'pine_turpentine', 'carpinus_betulus', 'cherry_juice', 'irish_whiskey', 'juniperus_phoenicea_oil', 'ruta_chalepensis_oil', 'elettaria_caradmomum_oil', 'cacao', 'artemisia_arborescens', 'sunflower_oil', 'citrus_leaf_oil', 'vetiver_oil', 'pinus_sabiniana_terpentine', 'pinus_excelsa', 'rafanus_sativus_root', 'artemisia_scoparia', 'orange_leaf_oil', 'valencia_orange_oil', 'violet', 'petitgrain_lime_oil', 'achasma_walang', 'polysiphonia_fastigiata', 'auto_oxidized_salmon_oil', 'magnolia_oil', 'cryptomeria_japonica', 'salmon_roe', 'marula', 'yam', 'pinus_jeffreyi_terpentine', 'pickled_ham', 'michelia_champaca_oil', 'lavender_vera_oil', 'pinus_jeffreyi', 'grape_syrup', 'castoreum_oil', 'marjoram_oil', 'chicken_broth', 'boronia_ledifolia_leaf', 'cognac_oil', 'rancid_coconut_oil', 'coprosma_foetidissima_leaf', 'sperm_whale_oil', 'chicory', 'wood_tar', 'atropa_belladonna_leaf', 'thymus_caespeititius', 'oxidized_skim_milk', 'atropa_belladonna_root', 'wood_spirit', 'mammee', 'tobacco_flower', 'acacia_dealbata', 'abies_alba_pine_needle', 'lentil', 'eryngium_facidum', 'rum_brandy', 'furcraea_gigantean_flower_oil', 'orris_oil', 'split_pea', 'satureia_montana', 'wild_marjoram', 'israeli_orange_oil', 'guinea_orange_oil', 'texas_sage', 'magnolia_fuscata', 'black_currant_juice', 'andropogon_intermedius', 'oxidized_lard', 'ocotea_usambarensis_oil', 'ruta_montana_oil', 'algerian_geranium_oil', 'citrus_flower_oil', 'white_currant_juice', 'tobacco_oil']","[587, 1160, 184, 1250, 1255, 221, 127, 1329, 42, 70, 179, 269, 304, 312, 334, 483, 701, 1285, 34, 61, 96, 145, 151, 175, 182, 199, 206, 219, 240, 259, 273, 278, 291, 297, 300, 332, 344, 364, 369, 387, 391, 448, 450, 471, 490, 491, 495, 518, 536, 547, 562, 564, 568, 602, 632, 635, 646, 685, 705, 727, 754, 768, 779, 784, 799, 807, 820, 875, 877, 939, 948, 969, 984, 1035, 1039, 1057, 1070, 1072, 1111, 1198, 1214, 1247, 1249, 1259, 1276, 1300, 1309, 1365, 1367, 1378, 1397, 1408, 1409, 1414, 1427, 1433, 1445, 1456, 1473, 1479, 1492, 1500, 1502, 1513, 1525]",peanut_butter,plant derivative
